8	moment	moment	[moment]	N(soort,ev,basis,onz,stan)	0.998628	O	I-NP	6	obj1
9	dat	dat	[dat]	VG(onder)	0.936000	O	B-SBAR	8	vc
10	ie	hij	[ie]	VNW(pers,pron,nomin,red,3,ev,masc)	0.974359	O	B-NP	12	su
11	voorbij	voorbij	[voor][bij]	ADJ(vrij,basis,zonder)	0.992945	O	B-ADJP	12	vc
12	rijdt	rijden	[rijd][t]	WW(pv,tgw,met-t)	0.998984	O	B-VP	9	body

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	vrouw	vrouw	[vrouw]	N(soort,ev,basis,zijd,stan)	0.997481	O	I-NP	8	su
3	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.866616	O	B-SBAR	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.999907	O	B-NP	5	det
5	broodje	brood	[brood][je]	N(soort,ev,dim,onz,stan)	0.999323	O	I-NP	8	su
6	aan_het	aan_het	[aan]_[het]	VZ(init)_LID(bep,stan,evon)	0.699641	O_O	B-PP_B-NP	8	vc
7	eten	eten	[eten]	N(soort,ev,basis,onz,stan)	0.750000	O	I-NP	8	su
8	is	zijn	[zijn]	WW(pv,tgw,ev)	0.992857	O	B-VP	0	ROOT
9	in	in	[in]	VZ(init)	0.995633	O	B-PP	8	mod
10	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	12	det
11	druk	druk	[druk]	ADJ(prenom,basis,zonder)	0.965517	O	I-NP	12	mod
12	restaurant	restaurant	[restaureer][ant]	N(soort,ev,basis,onz,stan)	0.996804	O	I-NP	9	obj1

1	De	de	[de]	LID(bep,stan,rest)	0.999701	O	B-NP	2	det
2	hoek	hoek	[hoek]	N(soort,ev,basis,zijd,stan)	0.999694	O	I-NP	0	ROOT
3	van	van	[van]	VZ(init)	0.999941	O	B-PP	2	mod
4	de	de	[de]	LID(bep,stan,rest)	0.999878	O	B-NP	5	det
5	straat	straat	[straat]	N(soort,ev,basis,zijd,stan)	0.998701	O	I-NP	3	obj1
6	tussen	tussen	[tussen]	VZ(init)	0.928887	O	B-PP	5	mod
7	Bridge_Street	Bridge_Street	[Bridge]_[Street]	SPEC(deeleigen)_SPEC(deeleigen)	1.000000	B-LOC_I-LOC	B-NP_I-NP	8	cnj
8	en	en	[en]	VG(neven)	0.926829	O	B-CONJP	6	obj1
9	Full	Full	[Full]	SPEC(vreemd)	1.000000	B-PRO	B-NP	8	cnj
10	Time_Mall	Time_Mall	[Time]_[Mall]	SPEC(deeleigen)_SPEC(deeleigen)	1.000000	B-ORG_B-LOC	I-NP_I-NP	0	ROOT

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	bureau	bureau	[bureau]	N(soort,ev,basis,onz,stan)	0.997977	O	I-NP	0	ROOT
3	met	met	[met]	VZ(init)	0.999761	O	B-PP	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.999052	O	B-NP	5	det
5	laptop	laptop	[laptop]	N(soort,ev,basis,zijd,stan)	0.999633	O	I-NP	3	obj1
6	,	,	[,]	LET()	1.000000	O	O	5	punct
7	een	een	[een]	LID(onbep,stan,agr)	0.999528	O	B-NP	8	det
8	scherm	scherm	[scherm]	N(soort,ev,basis,onz,stan)	0.999486	O	I-NP	3	obj1
9	,	,	[,]	LET()	1.000000	O	O	8	punct
10	toetsenbord	toetsenbord	[toets][en][bord]	N(soort,ev,basis,onz,stan)	0.996587	O	B-NP	11	cnj
11	en	en	[en]	VG(neven)	0.999615	O	B-CONJP	13	cnj
12	muis	muis	[muis]	N(soort,ev,basis,zijd,stan)	0.997758	O	B-NP	11	cnj
13	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	3	obj1
14	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	15	det
15	bureau-organiser	bureau-organiser	[bureau-orgaaniser]	N(soort,ev,basis,zijd,stan)	0.987647	O	I-NP	13	cnj

1	Foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.997420	O	B-NP	0	ROOT
2	van	van	[van]	VZ(init)	0.999697	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.999038	O	B-NP	5	det
4	tv	tv	[tv]	SPEC(afk)	1.000000	O	I-NP	5	mod
5	meubel	meubel	[meubel]	N(soort,ev,basis,onz,stan)	0.997977	O	I-NP	2	obj1
6	met	met	[met]	VZ(init)	0.999480	O	B-PP	5	mod
7	spel	spel	[spel]	N(soort,ev,basis,onz,stan)	0.973684	O	B-NP	6	obj1
8	computers	computer	[computer][s]	N(soort,mv,basis)	0.997993	O	I-NP	9	cnj
9	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	7	mod
10	een	een	[een]	LID(onbep,stan,agr)	0.999607	O	B-NP	12	det
11	elektrisch	elektrisch	[elektrisch]	ADJ(prenom,basis,zonder)	0.997533	O	I-NP	12	mod
12	drumstel	drumstel	[drum][stel]	N(soort,ev,basis,onz,stan)	0.996175	O	I-NP	9	cnj
13	ernaast	ernaast	[er][naast]	BW()	0.997264	O	B-PP	12	mod

1	Foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.997420	O	B-NP	0	ROOT
2	van	van	[van]	VZ(init)	0.999697	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.999038	O	B-NP	4	det
4	kamer	kamer	[kamer]	N(soort,ev,basis,zijd,stan)	0.998566	O	I-NP	2	obj1
5	in	in	[in]	VZ(init)	0.996805	O	B-PP	4	mod
6	een	een	[een]	LID(onbep,stan,agr)	0.999386	O	B-NP	9	det
7	oud	oud	[oud]	ADJ(vrij,basis,zonder)	0.666667	O	I-NP	8	mod
8	statig	statig	[staat][ig]	ADJ(prenom,basis,zonder)	0.983333	O	I-NP	9	mod
9	huis	huis	[huis]	N(soort,ev,basis,onz,stan)	0.996553	O	I-NP	5	obj1
10	met	met	[met]	VZ(init)	0.999761	O	B-PP	13	cnj
11	een	een	[een]	LID(onbep,stan,agr)	0.999052	O	B-NP	12	det
