4	een	een	[een]	LID(onbep,stan,agr)	0.999837	O	B-NP	5	det
5	park	park	[park]	N(soort,ev,basis,onz,stan)	0.991870	O	I-NP	3	obj1
6	waarvan	waarvan	[waar][van]	BW()	0.999464	O	B-SBAR	5	mod
7	een	een	[een]	LID(onbep,stan,agr)	0.999573	O	B-NP	8	det
8	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	11	su
9	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	10	det
10	frisbee	frisbee	[fris][bee]	N(soort,ev,basis,zijd,stan)	0.998984	O	I-NP	11	obj1
11	gooit	gooien	[gooi][t]	WW(pv,tgw,met-t)	0.998612	O	B-VP	6	body
12	.	.	[.]	LET()	1.000000	O	O	11	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	keuken	keuken	[keuken]	N(soort,ev,basis,zijd,stan)	0.998581	O	I-NP	8	su
3	waar	waar	[waar]	VNW(vb,adv-pron,obl,vol,3o,getal)	0.963470	O	B-ADVP	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	5	det
5	oven	oven	[oven]	N(soort,ev,basis,zijd,stan)	0.999117	O	I-NP	8	su
6	te	te	[te]	VZ(init)	0.999976	O	B-VP	5	mod
7	zien	zien	[zie][n]	WW(inf,vrij,zonder)	0.805195	O	I-VP	6	body
8	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999966	O	B-VP	0	ROOT
9	waarvan	waarvan	[waar][van]	BW()	0.998419	O	B-SBAR	8	mod
10	de	de	[de]	LID(bep,stan,rest)	0.999665	O	B-NP	11	det
11	deur	deur	[deur]	N(soort,ev,basis,zijd,stan)	0.997329	O	I-NP	13	su
12	open	open	[open]	ADJ(vrij,basis,zonder)	0.730182	O	O	13	mod
13	staat	staan	[sta][t]	WW(pv,tgw,met-t)	0.853448	O	B-VP	9	body
14	.	.	[.]	LET()	1.000000	O	O	13	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	3	det
2	luxe	luxe	[luxe]	ADJ(prenom,basis,zonder)	0.888889	O	I-NP	3	mod
3	gootsteen	gootsteen	[goot][steen]	N(soort,ev,basis,zijd,stan)	0.999295	O	I-NP	0	ROOT
4	met	met	[met]	VZ(init)	0.999480	O	B-PP	3	mod
5	dubbele	dubbel	[dubbel][e]	ADJ(prenom,basis,met-e,stan)	0.997947	O	B-NP	6	mod
6	kraan	kraan	[kraan]	N(soort,ev,basis,zijd,stan)	0.997691	O	I-NP	4	obj1

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	woonkamer	woonkamer	[woon][kamer]	N(soort,ev,basis,zijd,stan)	0.999295	O	I-NP	0	ROOT
3	met	met	[met]	VZ(init)	0.999480	O	B-PP	2	mod
4	twee	twee	[twee]	TW(hoofd,prenom,stan)	0.992147	O	B-NP	6	det
5	zwarte	zwart	[zwart][e]	ADJ(prenom,basis,met-e,stan)	0.999790	O	I-NP	6	mod
6	banken	bank	[bank][en]	N(soort,mv,basis)	0.998847	O	I-NP	3	obj1
7	,	,	[,]	LET()	1.000000	O	O	6	punct
8	tv-meubel	tv-meubel	[tv-meubel]	N(soort,ev,basis,zijd,stan)	0.628935	O	B-NP	9	cnj
9	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	6	mod
