participant,image,modality,PID,length,attributives,adverbs,syllables,chars,consciousness_of_projection,self_reference_words,negations,pseudo_quantifiers,positive_allness,prepositions
ppt-42,img-107906,spoken,0.5,16,0,2,1.3125,4.5625,0,0,0,0,0,2
ppt-42,img-107930,spoken,0.3888888888888889,18,0,2,1.2777777777777777,4.166666666666667,0,0,0,0,0,2
ppt-42,img-107933,spoken,0.36363636363636365,11,0,0,1.4545454545454546,3.8181818181818183,0,0,0,0,0,2
ppt-42,img-1159318,spoken,0.5,12,0,0,1.4166666666666667,4.416666666666667,0,0,0,0,0,2
ppt-42,img-1159353,spoken,0.4166666666666667,24,0,3,1.375,4.25,0,0,0,1,0,1
ppt-42,img-1159365,spoken,0.48148148148148145,29,0,2,1.6551724137931034,4.862068965517241,0,0,0,0,0,4
ppt-42,img-1159408,spoken,0.4782608695652174,24,1,2,1.4583333333333333,4.583333333333333,0,0,0,0,0,3
ppt-42,img-1159425,spoken,0.4878048780487805,43,2,5,1.441860465116279,4.511627906976744,1,0,1,0,0,5
ppt-42,img-1159427,spoken,0.5,17,0,1,1.2352941176470589,3.764705882352941,0,0,0,0,0,3
ppt-42,img-1159440,spoken,0.4583333333333333,25,3,2,1.56,4.76,0,0,0,0,0,3
ppt-42,img-1159463,spoken,0.47619047619047616,22,0,2,1.4090909090909092,4.2272727272727275,0,0,0,0,0,4
ppt-42,img-1159486,spoken,0.5,23,0,1,1.4782608695652173,4.565217391304348,0,0,0,0,0,3
ppt-42,img-1159508,spoken,0.5789473684210527,19,0,1,1.5263157894736843,4.7894736842105265,0,0,0,0,0,3
ppt-42,img-1159572,spoken,0.47619047619047616,22,0,2,1.5909090909090908,4.7727272727272725,0,0,1,0,0,3
ppt-42,img-1159606,spoken,0.4444444444444444,18,0,1,1.3888888888888888,4.5,0,0,0,0,0,2
ppt-42,img-1159749,spoken,0.6071428571428571,28,0,1,1.4285714285714286,4.071428571428571,0,0,0,0,0,4
ppt-42,img-1159768,spoken,0.55,21,3,2,1.619047619047619,5.0476190476190474,0,0,0,0,0,2
ppt-42,img-1159819,spoken,0.5,28,1,2,1.3571428571428572,4.178571428571429,0,0,0,0,0,2
ppt-42,img-1159967,spoken,0.5333333333333333,15,0,2,1.6,4.666666666666667,0,0,0,0,0,1
ppt-42,img-1159973,spoken,0.5333333333333333,16,0,1,1.6875,5.3125,0,0,0,0,0,2
ppt-42,img-1160062,spoken,0.45454545454545453,11,0,1,1.5454545454545454,4.909090909090909,0,0,0,0,0,2
ppt-42,img-1160140,spoken,0.5769230769230769,26,0,4,1.4615384615384615,4.269230769230769,0,0,1,0,0,4
ppt-42,img-1160189,spoken,0.45454545454545453,11,1,0,1.7272727272727273,5.2727272727272725,0,0,0,0,0,1
ppt-42,img-150273,spoken,0.5263157894736842,19,0,2,1.368421052631579,4.631578947368421,0,0,1,0,0,3
ppt-42,img-150303,spoken,0.5294117647058824,18,2,2,1.3888888888888888,4.333333333333333,0,0,0,0,0,1
ppt-42,img-150432,spoken,0.5,10,0,1,1.8,5.7,0,0,0,1,0,0
ppt-42,img-150474,spoken,0.46153846153846156,14,0,1,1.7142857142857142,5.357142857142857,0,0,0,1,0,2
ppt-42,img-1591781,spoken,0.5,26,0,6,1.6538461538461537,5.423076923076923,0,0,1,0,0,1
ppt-42,img-1591838,spoken,0.5909090909090909,22,2,1,1.5454545454545454,4.7272727272727275,0,0,0,1,0,1
ppt-42,img-1591876,spoken,0.4583333333333333,25,1,2,1.2,3.64,0,1,0,0,0,4
ppt-42,img-1591909,spoken,0.5185185185185185,28,0,2,1.6428571428571428,5.0,0,0,0,1,0,2
